targetx,targety,targetz,,collx,colly,collz,,targetxrel,targetyrel,targetzrel,,collxrel,collyrel,collzrel,,
-0.726068,-0.03015381,-2.940507,,-0.7349063,-0.0230782,-2.937773,,0.073932,-0.03015381,-0.040507,,0.0650937,-0.0230782,-0.037773,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8380767,-0.007596254,-3.003706,,-0.8382084,-0.01096606,-2.979151,,-0.0380767,-0.007596254,-0.103706,,-0.0382084,-0.01096606,-0.079151,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6788778,-0.007596254,-2.906994,,-0.673023,-0.01883841,-2.888045,,0.1211222,-0.007596254,-0.006994,,0.126977,-0.01883841,0.011955,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6632288,-0.007596254,-2.860298,,-0.6772516,-0.002514124,-2.841196,,0.1367712,-0.007596254,0.039702,,0.1227484,-0.002514124,0.058804,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.718885,-0.01703721,-2.77628,,-0.7250366,-0.01360655,-2.768857,,0.081115,-0.01703721,0.12372,,0.0749634,-0.01360655,0.131143,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8446441,-0.03015381,-2.945683,,-0.8344906,-0.02684307,-2.921504,,-0.0446441,-0.03015381,-0.045683,,-0.0344906,-0.02684307,-0.021504,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8709224,-0.007596254,-2.978443,,-0.8650067,-0.006944418,-2.954867,,-0.0709224,-0.007596254,-0.078443,,-0.0650067,-0.006944418,-0.054867,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6636515,-0.007596254,-2.866668,,-0.6799507,-0.01336193,-2.857038,,0.1363485,-0.007596254,0.033332,,0.1200493,-0.01336193,0.042962,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.754544,-0.007596254,-2.770958,,-0.7647957,-0.007776022,-2.753207,,0.045456,-0.007596254,0.129042,,0.0352043,-0.007776022,0.146793,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7027122,-0.01703721,-2.784918,,-0.7114756,-0.01457453,-2.776694,,0.0972878,-0.01703721,0.115082,,0.0885244,-0.01457453,0.123306,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.718693,-0.007596254,-2.983387,,-0.7125896,-0.005703926,-2.956386,,0.081307,-0.007596254,-0.083387,,0.0874104,-0.005703926,-0.056386,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8080966,-0.01703721,-2.79337,,-0.7997901,-0.01384902,-2.778622,,-0.0080966,-0.01703721,0.10663,,0.0002099,-0.01384902,0.121378,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.75,-0.03015381,-2.98737,,-0.7516486,-0.02179503,-2.967416,,0.05,-0.03015381,-0.08737,,0.0483514,-0.02179503,-0.067416,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.581588,-0.01703721,-2.887738,,-0.595178,-0.01246214,-2.872013,,0.218412,-0.01703721,0.012262,,0.204822,-0.01246214,0.027987,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7791108,-0.007596254,-2.984215,,-0.7908629,-0.009699821,-2.977764,,0.0208892,-0.007596254,-0.084215,,0.0091371,-0.009699821,-0.077764,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7515153,-0.03015381,-2.945018,,-0.7457246,-0.03293967,-2.940358,,0.0484847,-0.03015381,-0.045018,,0.0542754,-0.03293967,-0.040358,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.785555,-0.007596254,-3.025554,,-0.7828457,-0.01963735,-3.003025,,0.014445,-0.007596254,-0.125554,,0.0171543,-0.01963735,-0.103025,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8244228,-0.007596254,-2.90307,,-0.8204421,-0.0126524,-2.873442,,-0.0244228,-0.007596254,-0.00307,,-0.0204421,-0.0126524,0.026558,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6632288,-0.01703721,-2.855393,,-0.6770722,-0.01494908,-2.844243,,0.1367712,-0.01703721,0.044607,,0.1229278,-0.01494908,0.055757,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8430895,-0.007596254,-2.948389,,-0.8309129,-0.0103693,-2.932324,,-0.0430895,-0.007596254,-0.048389,,-0.0309129,-0.0103693,-0.032324,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8342451,-0.007596254,-2.879569,,-0.824167,-0.01935172,-2.8571,,-0.0342451,-0.007596254,0.020431,,-0.024167,-0.01935172,0.0429,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8134992,-0.007596254,-2.799419,,-0.8062818,-0.01183653,-2.797345,,-0.0134992,-0.007596254,0.100581,,-0.0062818,-0.01183653,0.102655,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.773932,-0.007596254,-2.775242,,-0.7743024,-0.003464222,-2.762944,,0.026068,-0.007596254,0.124758,,0.0256976,-0.003464222,0.137056,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7665668,-0.01703721,-2.773545,,-0.7657657,-0.02463055,-2.775042,,0.0334332,-0.01703721,0.126455,,0.0342343,-0.02463055,0.124958,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.7899898,-0.01703721,-2.981924,,-0.7928144,-0.007595539,-2.973735,,0.0100102,-0.01703721,-0.081924,,0.0071856,-0.007595539,-0.073735,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6379281,-0.01703721,-2.79426,,-0.6532749,-0.01383662,-2.785045,,0.1620719,-0.01703721,0.10574,,0.1467251,-0.01383662,0.114955,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7791108,-0.01703721,-2.732947,,-0.7709348,-0.03697872,-2.728214,,0.0208892,-0.01703721,0.167053,,0.0290652,-0.03697872,0.171786,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8005643,-0.007596254,-2.739993,,-0.787993,-0.0198648,-2.73846,,-0.0005643,-0.007596254,0.160007,,0.012007,-0.0198648,0.16154,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8330303,-0.03015381,-2.884573,,-0.8173823,-0.03361678,-2.859253,,-0.0330303,-0.03015381,0.015427,,-0.0173823,-0.03361678,0.040747,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8687935,-0.01703721,-2.736256,,-0.8560165,-0.03129697,-2.734782,,-0.0687935,-0.01703721,0.163744,,-0.0560165,-0.03129697,0.165218,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8755655,-0.007596254,-2.828047,,-0.8639928,-0.02214193,-2.804255,,-0.0755655,-0.007596254,0.071953,,-0.0639928,-0.02214193,0.095745,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6694981,-0.03015381,-2.891956,,-0.6760359,-0.02073717,-2.878809,,0.1305019,-0.03015381,0.008044,,0.1239641,-0.02073717,0.021191,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9205935,-0.007596254,-2.871438,,-0.9032893,-0.01370859,-2.852693,,-0.1205935,-0.007596254,0.028562,,-0.1032893,-0.01370859,0.047307,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8293178,-0.01703721,-2.824265,,-0.8189372,-0.02779102,-2.816524,,-0.0293178,-0.01703721,0.075735,,-0.0189372,-0.02779102,0.083476,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6508666,-0.007596254,-2.942829,,-0.6675376,-0.009254456,-2.916545,,0.1491334,-0.007596254,-0.042829,,0.1324624,-0.009254456,-0.016545,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8069617,-0.01703721,-2.925244,,-0.8016309,-0.01251912,-2.896228,,-0.0069617,-0.01703721,-0.025244,,-0.0016309,-0.01251912,0.003772,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6852952,-0.03015381,-2.971874,,-0.6982627,-0.03013706,-2.943442,,0.1147048,-0.03015381,-0.071874,,0.1017373,-0.03013706,-0.043442,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6470836,-0.007596254,-2.723307,,-0.6671245,-0.01634526,-2.711462,,0.1529164,-0.007596254,0.176693,,0.1328755,-0.01634526,0.188538,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8286894,-0.007596254,-2.896646,,-0.8186932,-0.009871006,-2.869708,,-0.0286894,-0.007596254,0.003354,,-0.0186932,-0.009871006,0.030292,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6965457,-0.007596254,-2.791605,,-0.7007176,-0.002251625,-2.773222,,0.1034543,-0.007596254,0.108395,,0.0992824,-0.002251625,0.126778,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6740619,-0.03015381,-2.818074,,-0.6830025,-0.02143121,-2.806441,,0.1259381,-0.03015381,0.081926,,0.1169975,-0.02143121,0.093559,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.5833729,-0.01703721,-2.898714,,-0.6000985,-0.02361417,-2.879332,,0.2166271,-0.01703721,0.001286,,0.1999015,-0.02361417,0.020668,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8774435,-0.01703721,-2.83785,,-0.8618913,-0.01484489,-2.824768,,-0.0774435,-0.01703721,0.06215,,-0.0618913,-0.01484489,0.075232,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6327152,-0.01703721,-2.915083,,-0.6452688,-0.01308727,-2.88907,,0.1672848,-0.01703721,-0.015083,,0.1547312,-0.01308727,0.01093,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6212994,-0.007596254,-2.846937,,-0.6376213,-0.01334214,-2.83448,,0.1787006,-0.007596254,0.053063,,0.1623787,-0.01334214,0.06552,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8022521,-0.01703721,-2.929887,,-0.8015261,-0.01288152,-2.896173,,-0.0022521,-0.01703721,-0.029887,,-0.0015261,-0.01288152,0.003827,,SmallOverlap(Clone) (UnityEngine.GameObject)
