Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relxolly,relxollz,,,,,,,,,,,,,,
11,,-0.6632949,-0.007596254,-2.855471,-0.66408,-0.007596254,-2.87045,-0.6529427,0.001519918,-2.841955,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0867051,-0.007596254,-0.005471,0.08592,-0.007596254,-0.02045,0.0970573,0.001519918,0.008045,,0.087208998,,,,,,,,,,,,
20,,-0.8113939,-0.01703721,-2.790324,-0.8220005,-0.01703721,-2.800931,-0.7993223,-0.01694465,-2.785753,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0613939,-0.01703721,0.059676,-0.0720005,-0.01703721,0.049069,-0.0493223,-0.01694465,0.064247,,0.087296635,,,,,,,,,,,,
52,,-0.75,-0.03015381,-2.767849,-0.7333333,-0.03015381,-2.767849,-0.7464569,-0.01794672,-2.758209,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0,-0.03015381,0.082151,0.0166667,-0.03015381,0.082151,0.0035431,-0.01794672,0.091791,,0.087510223,,,,,,,,,,,,
120,,-0.6636515,-0.01703721,-2.852196,-0.6652194,-0.01703721,-2.837278,-0.6805921,-0.02193379,-2.825494,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0863485,-0.01703721,-0.002196,0.0847806,-0.01703721,0.012722,0.0694079,-0.02193379,0.024506,,0.088040629,,,,,,,,,,,,
68,,-0.8359792,-0.007596254,-2.86839,-0.8385307,-0.007596254,-2.850235,-0.8246686,-0.008895874,-2.856612,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0859792,-0.007596254,-0.01839,-0.0885307,-0.007596254,-0.000235,-0.0746686,-0.008895874,-0.006612,,0.088251448,,,,,,,,,,,,
2,,-0.8310573,-0.01703721,-2.881301,-0.8244872,-0.01703721,-2.898417,-0.8181857,-0.01103663,-2.869755,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0810573,-0.01703721,-0.031301,-0.0744872,-0.01703721,-0.048417,-0.0681857,-0.01103663,-0.019755,,0.088545497,,,,,,,,,,,,
7,,-0.831588,-0.01703721,-2.880287,-0.8372883,-0.01703721,-2.864625,-0.8201031,-0.006282806,-2.874589,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.081588,-0.01703721,-0.030287,-0.0872883,-0.01703721,-0.014625,-0.0701031,-0.006282806,-0.024589,,0.088680159,,,,,,,,,,,,
96,,-0.6706823,-0.03015381,-2.823601,-0.6645812,-0.03015381,-2.837304,-0.6790326,-0.03702307,-2.821391,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0793177,-0.03015381,0.026399,0.0854188,-0.03015381,0.012696,0.0709674,-0.03702307,0.028609,,0.088867637,,,,,,,,,,,,
175,,-0.6665393,-0.03015381,-2.842448,-0.661486,-0.03015381,-2.860071,-0.6700191,-0.00950408,-2.809229,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0834607,-0.03015381,0.007552,0.088514,-0.03015381,-0.010071,0.0799809,-0.00950408,0.040771,,0.089061627,,,,,,,,,,,,
41,,-0.7001997,-0.03015381,-2.782515,-0.7138523,-0.03015381,-2.772956,-0.687968,-0.03286695,-2.777954,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0.0498003,-0.03015381,0.067485,0.0361477,-0.03015381,0.077044,0.062032,-0.03286695,0.072046,,0.089126581,,,,,,,,,,,,
33,,-0.7866935,-0.03015381,-2.774253,-0.7715883,-0.03015381,-2.76721,-0.7887071,-0.02025819,-2.772849,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0366935,-0.03015381,0.075747,-0.0215883,-0.03015381,0.08279,-0.0387071,-0.02025819,0.077151,,0.089405107,,,,,,,,,,,,
