Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relcolly,relcollz,,targetradius,,,,,,,,,,,,,,,,,
35,,-0.8005643,-0.007596254,-2.739993,-0.8143719,-0.007596254,-2.745854,-0.787993,-0.0198648,-2.73846,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0505643,-0.007596254,0.110007,-0.0643719,-0.007596254,0.104146,-0.037993,-0.0198648,0.11154,,0.171786399,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
36,,-0.8330303,-0.03015381,-2.884573,-0.8374159,-0.03015381,-2.870229,-0.8173823,-0.03361678,-2.859253,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0830303,-0.03015381,-0.034573,-0.0874159,-0.03015381,-0.020229,-0.0673823,-0.03361678,-0.009253,,0.176469289,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
37,,-0.6508666,-0.007596254,-2.942829,-0.6605084,-0.007596254,-2.954319,-0.6675376,-0.009254456,-2.916545,LargeOverlap(Clone) (UnityEngine.GameObject),0.0991334,-0.007596254,-0.092829,0.0894916,-0.007596254,-0.104319,0.0824624,-0.009254456,-0.066545,,0.168784933,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
38,,-0.6852952,-0.03015381,-2.971874,-0.6723049,-0.03015381,-2.964374,-0.6982627,-0.03013706,-2.943442,LargeOverlap(Clone) (UnityEngine.GameObject),0.0647048,-0.03015381,-0.121874,0.0776951,-0.03015381,-0.114374,0.0517373,-0.03013706,-0.093442,,0.088608742,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
39,,-0.6470836,-0.007596254,-2.723307,-0.6351041,-0.007596254,-2.732334,-0.6671245,-0.01634526,-2.711462,LargeOverlap(Clone) (UnityEngine.GameObject),0.1029164,-0.007596254,0.126693,0.1148959,-0.007596254,0.117666,0.0828755,-0.01634526,0.138538,,0.088592586,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
40,,-0.8286894,-0.007596254,-2.896646,-0.8350286,-0.007596254,-2.883052,-0.8186932,-0.009871006,-2.869708,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0786894,-0.007596254,-0.046646,-0.0850286,-0.007596254,-0.033052,-0.0686932,-0.009871006,-0.019708,,0.170211351,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
41,,-0.6740619,-0.03015381,-2.818074,-0.681334,-0.03015381,-2.804954,-0.6830025,-0.02143121,-2.806441,LargeOverlap(Clone) (UnityEngine.GameObject),0.0759381,-0.03015381,0.031926,0.068666,-0.03015381,0.045046,0.0669975,-0.02143121,0.043559,,0.090656576,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
42,,-0.8774435,-0.01703721,-2.83785,-0.8748388,-0.01703721,-2.823078,-0.8618913,-0.01484489,-2.824768,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1274435,-0.01703721,0.01215,-0.1248388,-0.01703721,0.026922,-0.1118913,-0.01484489,0.025232,,0.167384152,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
43,,-0.6553559,-0.03015381,-2.772358,-0.6451259,-0.03015381,-2.783329,-0.6562796,-0.03363085,-2.747498,LargeOverlap(Clone) (UnityEngine.GameObject),0.0946441,-0.03015381,0.077642,0.1048741,-0.03015381,0.066671,0.0937204,-0.03363085,0.102502,,0.089868559,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
44,,-0.6210829,-0.03015381,-2.849654,-0.6197756,-0.03015381,-2.864597,-0.6282434,-0.02205253,-2.82247,LargeOverlap(Clone) (UnityEngine.GameObject),0.1289171,-0.03015381,0.000346,0.1302244,-0.03015381,-0.014597,0.1217566,-0.02205253,0.02753,,0.175972983,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
