Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
110,,-0.726068,-0.007596254,-2.775127,-0.7116491,-0.007596254,-2.779262,-0.7245407,-0.02634645,-2.756213,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.023932,-0.007596254,0.074873,0.0383509,-0.007596254,0.070738,0.0254593,-0.02634645,0.093787,,0.078970943
98,,-0.7665668,-0.007596254,-2.772432,-0.7518424,-0.007596254,-2.769569,-0.7817543,0.0107646,-2.749431,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0165668,-0.007596254,0.077568,-0.0018424,-0.007596254,0.080431,-0.0317543,0.0107646,0.100569,,0.07968034
93,,-0.7001997,-0.007596254,-2.786177,-0.6879125,-0.007596254,-2.79478,-0.6970061,-0.01552796,-2.769215,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0498003,-0.007596254,0.063823,0.0620875,-0.007596254,0.05522,0.0529939,-0.01552796,0.080785,,0.081308968
111,,-0.7960098,-0.01703721,-2.785027,-0.8087305,-0.01703721,-2.792976,-0.7978112,-0.03407216,-2.761244,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0460098,-0.01703721,0.064973,-0.0587305,-0.01703721,0.057024,-0.0478112,-0.03407216,0.088756,,0.081416577
77,,-0.7998003,-0.007596254,-2.785024,-0.787513,-0.007596254,-2.77642,-0.8215154,0.009266138,-2.766987,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0498003,-0.007596254,0.064976,-0.037513,-0.007596254,0.07358,-0.0715154,0.009266138,0.083013,,0.082217112
75,,-0.6989661,-0.007596254,-2.785765,-0.7111014,-0.007596254,-2.776948,-0.6956667,-0.02492023,-2.773252,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0510339,-0.007596254,0.064235,0.0388986,-0.007596254,0.073052,0.0543333,-0.02492023,0.076748,,0.082391124
62,,-0.718885,-0.01703721,-2.774029,-0.7048813,-0.01703721,-2.779404,-0.7179513,-0.02331448,-2.756347,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.031115,-0.01703721,0.075971,0.0451187,-0.01703721,0.070596,0.0320487,-0.02331448,0.093653,,0.083845111
38,,-0.815527,-0.007596254,-2.796435,-0.8253679,-0.007596254,-2.807755,-0.8211345,-0.0197041,-2.792638,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.065527,-0.007596254,0.053565,-0.0753679,-0.007596254,0.042245,-0.0711345,-0.0197041,0.057362,,0.084974702
94,,-0.8293178,-0.01703721,-2.822054,-0.8232167,-0.01703721,-2.808351,-0.8229223,-0.02929831,-2.804866,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0793178,-0.01703721,0.027946,-0.0732167,-0.01703721,0.041649,-0.0729223,-0.02929831,0.045134,,0.085805354
165,,-0.8228168,-0.03015381,-2.815329,-0.8309864,-0.03015381,-2.827909,-0.8269124,-0.04586577,-2.785114,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0728168,-0.03015381,0.034671,-0.0809864,-0.03015381,0.022091,-0.0769124,-0.04586577,0.064886,,0.086102363
39,,-0.8228168,-0.01703721,-2.806178,-0.8309864,-0.01703721,-2.818758,-0.8191807,-0.017205,-2.783974,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0728168,-0.01703721,0.043822,-0.0809864,-0.01703721,0.031242,-0.0691807,-0.017205,0.066026,,0.086677105
78,,-0.8338656,-0.01703721,-2.833747,-0.8299834,-0.01703721,-2.819258,-0.8605878,0.009589434,-2.842399,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0838656,-0.01703721,0.016253,-0.0799834,-0.01703721,0.030742,-0.1105878,0.009589434,0.007601,,0.087108354
