targetx,targety,targetz,penaltyx,penaltyy,pealtyz,collx,colly,collz,,targetxrel,targetyrel,targetzrel,penxrel,penyrel,penzrel,collxrel,collyrel,collzrel,,,,,,,,
-0.7791108,-0.01703721,-2.732947,-0.7612473,-0.01703721,-2.728822,-0.7709348,-0.03697872,-2.728214,,0.0208892,-0.01703721,0.167053,0.0387527,-0.01703721,0.171178,0.0290652,-0.03697872,0.171786,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8755655,-0.007596254,-2.828047,-0.8800008,-0.007596254,-2.845836,-0.8639928,-0.02214193,-2.804255,,-0.0755655,-0.007596254,0.071953,-0.0800008,-0.007596254,0.054164,-0.0639928,-0.02214193,0.095745,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6694981,-0.03015381,-2.891956,-0.6626303,-0.03015381,-2.874958,-0.6760359,-0.02073717,-2.878809,,0.1305019,-0.03015381,0.008044,0.1373697,-0.03015381,0.025042,0.1239641,-0.02073717,0.021191,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9205935,-0.007596254,-2.871438,-0.9193146,-0.007596254,-2.889727,-0.9032893,-0.01370859,-2.852693,,-0.1205935,-0.007596254,0.028562,-0.1193146,-0.007596254,0.010273,-0.1032893,-0.01370859,0.047307,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6965457,-0.007596254,-2.791605,-0.6820989,-0.007596254,-2.802893,-0.7007176,-0.002251625,-2.773222,,0.1034543,-0.007596254,0.108395,0.1179011,-0.007596254,0.097107,0.0992824,-0.002251625,0.126778,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.5833729,-0.01703721,-2.898714,-0.587497,-0.01703721,-2.916577,-0.6000985,-0.02361417,-2.879332,,0.2166271,-0.01703721,0.001286,0.212503,-0.01703721,-0.016577,0.1999015,-0.02361417,0.020668,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6327152,-0.01703721,-2.915083,-0.6404632,-0.01703721,-2.931699,-0.6452688,-0.01308727,-2.88907,,0.1672848,-0.01703721,-0.015083,0.1595368,-0.01703721,-0.031699,0.1547312,-0.01308727,0.01093,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6212994,-0.007596254,-2.846937,-0.619383,-0.007596254,-2.86517,-0.6376213,-0.01334214,-2.83448,,0.1787006,-0.007596254,0.053063,0.180617,-0.007596254,0.03483,0.1623787,-0.01334214,0.06552,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8022521,-0.01703721,-2.929887,-0.7876104,-0.01703721,-2.94092,-0.8015261,-0.01288152,-2.896173,,-0.0022521,-0.01703721,-0.029887,0.0123896,-0.01703721,-0.04092,-0.0015261,-0.01288152,0.003827,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7203044,-0.03015381,-3.029583,-0.7022496,-0.03015381,-3.026399,-0.7292836,-0.03434896,-2.998236,,0.0796956,-0.03015381,-0.129583,0.0977504,-0.03015381,-0.126399,0.0707164,-0.03434896,-0.098236,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.802845,-0.03015381,-2.698601,-0.785409,-0.03015381,-2.692936,-0.8004689,-0.03924465,-2.694633,,-0.002845,-0.03015381,0.201399,0.014591,-0.03015381,0.207064,-0.0004689,-0.03924465,0.205367,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6640208,-0.007596254,-2.849314,-0.6665723,-0.007596254,-2.831159,-0.677567,-0.009408236,-2.838357,,0.1359792,-0.007596254,0.050686,0.1334277,-0.007596254,0.068841,0.122433,-0.009408236,0.061643,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.671963,-0.03015381,-2.899526,-0.6799998,-0.03015381,-2.916003,-0.6842024,-0.02249265,-2.872567,,0.128037,-0.03015381,0.000474,0.1200002,-0.03015381,-0.016003,0.1157976,-0.02249265,0.027433,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7246151,-0.03015381,-2.944785,-0.7070829,-0.03015381,-2.939425,-0.7273654,-0.02227736,-2.929594,,0.0753849,-0.03015381,-0.044785,0.0929171,-0.03015381,-0.039425,0.0726346,-0.02227736,-0.029594,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8770853,-0.01703721,-2.976256,-0.8893527,-0.01703721,-2.962631,-0.8793135,-0.02975607,-2.95333,,-0.0770853,-0.01703721,-0.076256,-0.0893527,-0.01703721,-0.062631,-0.0793135,-0.02975607,-0.05333,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.781307,-0.01703721,-2.987472,-0.7990957,-0.01703721,-2.983037,-0.784644,-0.00770402,-2.975764,,0.018693,-0.01703721,-0.087472,0.0009043,-0.01703721,-0.083037,0.015356,-0.00770402,-0.075764,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6480239,-0.03015381,-2.782308,-0.6593111,-0.03015381,-2.767861,-0.6546363,-0.03635454,-2.777503,,0.1519761,-0.03015381,0.117692,0.1406889,-0.03015381,0.132139,0.1453637,-0.03635454,0.122497,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8005643,-0.007596254,-2.743085,-0.7836884,-0.007596254,-2.735921,-0.8029061,-0.02415824,-2.737921,,-0.0005643,-0.007596254,0.156915,0.0163116,-0.007596254,0.164079,-0.0029061,-0.02415824,0.162079,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7605812,-0.03015381,-2.776109,-0.7423845,-0.03015381,-2.773874,-0.762343,-0.03170085,-2.765739,,0.0394188,-0.03015381,0.123891,0.0576155,-0.03015381,0.126126,0.037657,-0.03170085,0.134261,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8980991,-0.03015381,-2.776849,-0.9072657,-0.03015381,-2.792726,-0.878846,-0.02987647,-2.755247,,-0.0980991,-0.03015381,0.123151,-0.1072657,-0.03015381,0.107274,-0.078846,-0.02987647,0.144753,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6553559,-0.03015381,-2.774238,-0.6428525,-0.03015381,-2.787646,-0.6570071,-0.02767658,-2.750517,,0.1446441,-0.03015381,0.125762,0.1571475,-0.03015381,0.112354,0.1429929,-0.02767658,0.149483,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.5903484,-0.01703721,-2.923851,-0.5837783,-0.01703721,-2.906736,-0.603757,-0.007053375,-2.905768,,0.2096516,-0.01703721,-0.023851,0.2162217,-0.01703721,-0.006736,0.196243,-0.007053375,-0.005768,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7866935,-0.01703721,-2.941399,-0.8033091,-0.01703721,-2.933651,-0.785009,-0.03136826,-2.914075,,0.0133065,-0.01703721,-0.041399,-0.0033091,-0.01703721,-0.033651,0.014991,-0.03136826,-0.014075,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7878357,-0.01703721,-2.986552,-0.8053679,-0.01703721,-2.981191,-0.7839977,-0.01335549,-2.953523,,0.0121643,-0.01703721,-0.086552,-0.0053679,-0.01703721,-0.081191,0.0160023,-0.01335549,-0.053523,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7052823,-0.007596254,-2.788514,-0.720997,-0.007596254,-2.779072,-0.7014335,-0.008658409,-2.76838,,0.0947177,-0.007596254,0.111486,0.079003,-0.007596254,0.120928,0.0985665,-0.008658409,0.13162,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
