Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
23,,-0.6834889,-0.01703721,-2.907512,-0.694202,-0.01703721,-2.92028,-0.6808747,-0.02728915,-2.899108,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0665111,-0.01703721,-0.057512,0.055798,-0.01703721,-0.07028,0.0691253,-0.02728915,-0.049108,,0.089563514
29,,-0.8244228,-0.01703721,-2.896842,-0.8149804,-0.01703721,-2.912557,-0.8294584,-0.02154446,-2.883307,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0744228,-0.01703721,-0.046842,-0.0649804,-0.01703721,-0.062557,-0.0794584,-0.02154446,-0.033307,,0.089572276
136,,-0.6650732,-0.007596254,-2.878035,-0.6688849,-0.007596254,-2.895967,-0.6693416,0.01415968,-2.835534,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0849268,-0.007596254,-0.028035,0.0811151,-0.007596254,-0.045967,0.0806584,0.01415968,0.014466,,0.08975648
140,,-0.8334607,-0.007596254,-2.884215,-0.838514,-0.007596254,-2.866592,-0.8320469,-0.01122665,-2.871104,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0834607,-0.007596254,-0.034215,-0.088514,-0.007596254,-0.016592,-0.0820469,-0.01122665,-0.021104,,0.090521035
35,,-0.793412,-0.01703721,-2.927739,-0.8078458,-0.01703721,-2.919406,-0.7872892,-0.02634668,-2.921171,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.043412,-0.01703721,-0.077739,-0.0578458,-0.01703721,-0.069406,-0.0372892,-0.02634668,-0.071171,,0.090654401
170,,-0.8357552,-0.03015381,-2.848951,-0.8383624,-0.03015381,-2.865413,-0.8276611,-0.03083062,-2.817408,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0857552,-0.03015381,0.001049,-0.0883624,-0.03015381,-0.015413,-0.0776611,-0.03083062,0.032592,,0.090908234
53,,-0.6661344,-0.03015381,-2.831355,-0.6618207,-0.03015381,-2.847454,-0.6581841,-0.03489852,-2.820735,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0838656,-0.03015381,0.018645,0.0881793,-0.03015381,0.002546,0.0918159,-0.03489852,0.029265,,0.091051234
106,,-0.6748081,-0.007596254,-2.901042,-0.6664748,-0.007596254,-2.886609,-0.6724691,-0.02030373,-2.892758,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0751919,-0.007596254,-0.051042,0.0835252,-0.007596254,-0.036609,0.0775309,-0.02030373,-0.042758,,0.09119655
93,,-0.6638231,-0.03015381,-2.846126,-0.6619951,-0.03015381,-2.861014,-0.6634316,-0.03638697,-2.833754,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0861769,-0.03015381,0.003874,0.0880049,-0.03015381,-0.011014,0.0865684,-0.03638697,0.016246,,0.091382264
90,,-0.6638231,-0.03015381,-2.845912,-0.6615888,-0.03015381,-2.864108,-0.6671437,-0.04151893,-2.830466,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0861769,-0.03015381,0.004088,0.0884112,-0.03015381,-0.014108,0.0828563,-0.04151893,0.019534,,0.091391587
3,,-0.7289953,-0.03015381,-2.766066,-0.7467841,-0.03015381,-2.76163,-0.719628,-0.03757024,-2.755185,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0210047,-0.03015381,0.083934,0.0032159,-0.03015381,0.08837,0.030372,-0.03757024,0.094815,,0.09162623
6,,-0.831588,-0.03015381,-2.820828,-0.8367183,-0.03015381,-2.834924,-0.8242085,-0.02690029,-2.808794,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.081588,-0.03015381,0.029172,-0.0867183,-0.03015381,0.015076,-0.0742085,-0.02690029,0.041206,,0.091743444
163,,-0.8310573,-0.007596254,-2.89314,-0.8250845,-0.007596254,-2.908699,-0.8369344,-0.01194096,-2.859074,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0810573,-0.007596254,-0.04314,-0.0750845,-0.007596254,-0.058699,-0.0869344,-0.01194096,-0.009074,,0.092136033
95,,-0.6771832,-0.01703721,-2.904132,-0.6671981,-0.01703721,-2.888757,-0.6833156,-0.02585626,-2.890611,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0728168,-0.01703721,-0.054132,0.0828019,-0.01703721,-0.038757,0.0666844,-0.02585626,-0.040611,,0.092319155
129,,-0.6631759,-0.03015381,-2.859437,-0.6631759,-0.03015381,-2.876103,-0.6592705,-0.03121543,-2.827393,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0868241,-0.03015381,-0.009437,0.0868241,-0.03015381,-0.026103,0.0907295,-0.03121543,0.022607,,0.092394446
77,,-0.7027122,-0.01703721,-2.928386,-0.6873366,-0.01703721,-2.918401,-0.7096725,-0.01810122,-2.908157,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0472878,-0.01703721,-0.078386,0.0626634,-0.01703721,-0.068401,0.0403275,-0.01810122,-0.058157,,0.093116956
98,,-0.6674254,-0.03015381,-2.883884,-0.6622751,-0.03015381,-2.868033,-0.6846168,-0.02856421,-2.867859,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0825746,-0.03015381,-0.033884,0.0877249,-0.03015381,-0.018033,0.0653832,-0.02856421,-0.017859,,0.094212219
111,,-0.8325746,-0.03015381,-2.884849,-0.8279393,-0.03015381,-2.899115,-0.8431129,-0.03441715,-2.862207,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0825746,-0.03015381,-0.034849,-0.0779393,-0.03015381,-0.049115,-0.0931129,-0.03441715,-0.012207,,0.094563575
41,,-0.7724717,-0.03015381,-2.936828,-0.7579829,-0.03015381,-2.940711,-0.7760863,-0.03614354,-2.925794,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0224717,-0.03015381,-0.086828,-0.0079829,-0.03015381,-0.090711,-0.0260863,-0.03614354,-0.075794,,0.094622044
139,,-0.6886061,-0.007596254,-2.921603,-0.6779995,-0.007596254,-2.910996,-0.6850719,-0.01711059,-2.903235,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0613939,-0.007596254,-0.071603,0.0720005,-0.007596254,-0.060996,0.0649281,-0.01711059,-0.053235,,0.094625069
