Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,Start Time,Overlap Type,Polar Angle,Elevation Angle,,,,,,,,,,,,
20,,-0.8357552,-0.03015381,-2.865505,-0.8383624,-0.03015381,-2.849043,-0.9932249,0.08857012,-2.820741,17:02:25,MediumOverlap(Clone) (UnityEngine.GameObject),3.298672,1.22173,,-0.0857552,-0.03015381,-0.015505,-0.0883624,-0.03015381,0.000957,-0.2432249,0.08857012,0.029259,,0.092215029
59,,-0.754544,-0.007596254,-2.941963,-0.7728522,-0.007596254,-2.941004,-0.7544309,-0.008649588,-2.915654,17:05:00,SmallOverlap(Clone) (UnityEngine.GameObject),4.660029,1.396263,,-0.004544,-0.007596254,-0.091963,-0.0228522,-0.007596254,-0.091004,-0.0044309,-0.008649588,-0.065654,,0.09238801
76,,-0.706588,-0.007596254,-2.931659,-0.6935976,-0.007596254,-2.924159,-0.6890516,0.1127934,-2.977451,17:05:56,LargeOverlap(Clone) (UnityEngine.GameObject),5.235988,1.396263,,0.043412,-0.007596254,-0.081659,0.0564024,-0.007596254,-0.074159,0.0609484,0.1127934,-0.127451,,0.092792764
66,,-0.7515153,-0.007596254,-2.942568,-0.7681794,-0.007596254,-2.942277,-0.7782586,0.1376793,-2.955301,17:05:23,MediumOverlap(Clone) (UnityEngine.GameObject),4.694936,1.396263,,-0.0015153,-0.007596254,-0.092568,-0.0181794,-0.007596254,-0.092277,-0.0282586,0.1376793,-0.105301,,0.092891516
135,,-0.6748081,-0.01703721,-2.904207,-0.6673082,-0.01703721,-2.891216,-0.6551555,0.1271462,-2.859968,17:09:18,LargeOverlap(Clone) (UnityEngine.GameObject),5.759586,1.308997,,0.0751919,-0.01703721,-0.054207,0.0826918,-0.01703721,-0.041216,0.0948445,0.1271462,-0.009968,,0.094246948
41,,-0.8058094,-0.03015381,-2.920176,-0.8173001,-0.03015381,-2.910534,-0.9983783,-0.02438474,-3.183493,17:03:46,LargeOverlap(Clone) (UnityEngine.GameObject),4.014257,1.22173,,-0.0558094,-0.03015381,-0.070176,-0.0673001,-0.03015381,-0.060534,-0.2483783,-0.02438474,-0.333493,,0.094597105
154,,-0.6644949,-0.03015381,-2.877256,-0.6676785,-0.03015381,-2.895311,-0.6538532,0.1142435,-2.808786,17:10:23,SmallOverlap(Clone) (UnityEngine.GameObject),6.108652,1.22173,,0.0855051,-0.03015381,-0.027256,0.0823215,-0.03015381,-0.045311,0.0961468,0.1142435,0.041214,,0.094674516
67,,-0.6771832,-0.03015381,-2.903115,-0.6671981,-0.03015381,-2.887739,-0.6407104,0.1333621,-2.905141,17:05:27,SmallOverlap(Clone) (UnityEngine.GameObject),5.707227,1.22173,,0.0728168,-0.03015381,-0.053115,0.0828019,-0.03015381,-0.037739,0.1092896,0.1333621,-0.055141,,0.095040738
49,,-0.7105827,-0.03015381,-2.931729,-0.6942475,-0.03015381,-2.923406,-0.7191029,-0.02809215,-2.909721,17:04:19,SmallOverlap(Clone) (UnityEngine.GameObject),5.183628,1.22173,,0.0394173,-0.03015381,-0.081729,0.0557525,-0.03015381,-0.073406,0.0308971,-0.02809215,-0.059721,,0.095616971
93,,-0.7304688,-0.01703721,-2.942317,-0.7126054,-0.01703721,-2.938193,-0.7166517,0.001433134,-2.931412,17:06:55,SmallOverlap(Clone) (UnityEngine.GameObject),4.939282,1.308997,,0.0195312,-0.01703721,-0.092317,0.0373946,-0.01703721,-0.088193,0.0333483,0.001433134,-0.081412,,0.095886197
63,,-0.7985514,-0.03015381,-2.927523,-0.7847341,-0.03015381,-2.936843,-0.8371956,0.1168377,-2.931265,17:05:13,MediumOverlap(Clone) (UnityEngine.GameObject),4.118977,1.22173,,-0.0485514,-0.03015381,-0.077523,-0.0347341,-0.03015381,-0.086843,-0.0871956,0.1168377,-0.081265,,0.096313583
132,,-0.6965457,-0.01703721,-2.929004,-0.6820989,-0.01703721,-2.917717,-0.6794471,-0.009981871,-2.90554,17:09:09,SmallOverlap(Clone) (UnityEngine.GameObject),5.375614,1.308997,,0.0534543,-0.01703721,-0.079004,0.0679011,-0.01703721,-0.067717,0.0705529,-0.009981871,-0.05554,,0.096898198
